Word,Speak,Slang,Written
Я (муж.),ผม,,
Я (жен.),ฉัน,,
Я (унизительно),กู,,
Мы,เรา,,
Все мы,พวกเรา,,
Ты,คุณ,,
Уважаемый, (муж.),พี่ผู้ชาย,,
Уважаемая, (жен.),พี่ผู้หญิง,,
Молодой человек, (муж.),น้องผู้ชาย,,
Девушка, (жен.),น้องผู้หญิง,,
My lord,ท่าน,,
You уменьшительно ласкательно (мышка),หนู,,
You(унизительно),มึง,,
He, his,เขา,,
She, her,เขา,,
They, their,พวกเขา,,
It,มัน,,
Morning,ตอนเช้า,,
Afternoon,ตอนบ่าย,,
Evening,ตอนเย็น,,
Come,มา,,
From,จาก,,
Name,ชื่อ,,
Age,อายุ,,
Years (1-15) for children,ขวบ,,
Year (16-..) for adult,ปี,,
Go,ไป,,
Years,ปี,,
Yes,ใช่,,
No,ไม่,,
Late (In general),สาย,,
Late (for friends),ช้า,,
Late in the night,ดึก,,
Quickly,เร็วๆ,,
Slowly,ช้าๆ,,
Wait,รอ,คอย
Moment,สักครู่,,
Wait a minute,เดี๋ยวก่อน,,
One moment,แปปนึง,,
Here,ที่นี่,,
Exactly here,ตรงนี้,,
There,ที่นั่น,,
Exactly there,ตรงนั่น,,
Time (Время),เวลา,,
Time (сколько Раз),ครัง,,
Very,มาก,,
Cold (холодный на ощупь),เย็น,,
Cold( холодно по ощущению тела , прохладно),หนาว,,
Catch cold, sick (простуда),เป็นหวัด,,
Say, Speak,ผุด,,
Tell,บอก,,
Talk,คุย,,
Busy (Занят),ย่ง,,
Busy, not free,ไม่ว่าง,,
Busy on road (Пробки),รถติด,,
Busy, Crowdy (Людно),คนเยอะ,,
Forget,ลืม,,
Already,แล้ว,,
Questions,คำถาม,,
Cost, Price,ราคา,,
How Much,เท่าไร,,
Eat (Употреблять),รับประทาน,,
Eat (Есть еду),กินข้าว,,
Eat (Есть что-то),กิน,,
Eat (Кушать, уважительно),ทาน,,
Rice,ข้าว,,
Think,คิด,,
Think that,คิดว่า,,
See (look, watch, смотреть),ดู,ชม
See (видеть),เห็น,,
Go to see someone (увидеться),หา,พบ
Meet,เจอ,,
See you again,แล้วเจอกัน,,
See you somewhere(sometime),เจอกัน,,
Today,วันนี้,,
Tomorrow,พรุ่งนี้,,
Again (еще раз),อีกครั้ง,,
Again (новый),ใหม่,,
More,อีก,,
Good (nice, quality),ดี,,
Good (ability, good at),เก่ง,,
Luck,โชค,,
Feel,รู้สึก,,
Hurt/Pain (short),เจ็บ,,
Ache/Pain (long),ปวด,,
Sore Throat (першит),แสบคอ,,
Sore Throat (болит горло),เจ็บคอ,,
Head,หัว,ศีรษะ
Tooth,ฟัน,,
Toothache,ปวดฟัน,,
Stomach,ท้อง,,
Stomach Ache,ปวดท้อง,,
Medicine,ยา,,
Ever,เคย,,
Never,ไม่เคย,,
Help,ช่วย,,
Drink,ดื่ม,,
Smoke,สูบ,,
Cigarette,บุหรี่,,
Listen,ฟัง,,
Please,โปรด,,
