Word,Speak,Slang,Written
№1,ที่หมึง,,
Первый, сперва,แรก,,
Последний,สุดท้าย,,
People / person,คน,,ชาว
Day,วัน,,
Date,วันที่,,
Week,อาทิตย์,,สัปดาห์
Weekend,เสาร์ อาทิตย์,,สุดสัปดาห์
Month,เดือน,,
Year,ปี,,
The beginning of (day, date, week, month, year),ต้น,,
The end of (day, date, week, month, year),สิ้น,,ปลาย
Monday,วันจันทร์,,
Moon,พระจันทร์,,
Tuesday,วันอังคาร,,
Mars,ดาวอังคาร,,
Wednesday,วันพุธ,,
Mercury,ดาวพุธ,,
Thursday,วันพฤหัส,,วันพฤหัสบดี
Jupiter,ดาวพฤหัส,,
Friday,วันศุกร์,,
Venus,ดาวศุกร์,,
Saturday,วันเสาร์,,
Saturn,ดาวเสาร์,,
Sunday,วันอาทิตย์,,
Sun,ผระอาทิตย์,,
Want,ต้องการ,,
Need,ต้องการ,,
Want (order),เอา,,
Want to do,อยาก,,
Want someone to do something,Кто хочет+อยากให้+кто делает+что делает,อยากให้,
Wish to have,อยากได้,,
