Word,Speak,Slang,Written
To,ถึง,,
To (Go to),ไปถึง,,
From,จาก,,
Into,เข้าไปข้างใน,,
Through (easy),ผ่าน,,
Through (hard),ทะลุ,,
Out of / leave,ออกจาก,,
Down,ลง,,
In,ใน,,
On,บน,,
At,ที่,,
Above / On Top Of,เหนือ,,
Under / Below,ใต้,,
Behind,หลัง,,
Behind (backside),ข้างหลัง,,
Inside,ข้างใน,,
In Front Of,หน้า,,
In Front Of (Frontside),ข้างหน้า,,
Out,นอก,,
Outside,ข้างนอก,,
Between,ระหว่าง,,
Beside,ข้างๆ,,
Next to,ติดกับ,,
Near / Close To / By,ใกล้กกับ,,
Opposite / Across From,ตรงข้าม,,
