Word,Speak,Slang,Written
стакан,แก้ว,,
бутылка,ขวด,,
тарелка,จาน,,
банка,กระป๋อง,,
chopsticks,ตะเกียบ,,
вилка,ส้อม,,
ложка,ช้อน,,
