Word,Speak,Slang,Written
Number,ตัวเลข,,
information number,เบอร์,,หมายเลข
Registration number,เลขที่,,
Count (количество),จำนวน,,
0 - ๐,ศูนย์,,
1- ๑,หนึ่ง,,
2- ๒,สอง,,
3- ๓,สาม,,
4- ๔,สี่,,
5- ๕,ห้า,,
6-๖,หก,,
7- ๗,เจ็ด,,
8- ๘,แปด,,
9- ๙,เก้า,,
10,สิบ,,
11,สิบเอ็ด,,
100,ร้อย,,
1,000,พัน,,
10,000,หมื่น,,
100,000,แสน,,
1,000,000,ล้าน,,
Точка (дробь),после точки читать по цифрам,จุด,
0.50฿,ห้าสิบ สตางค์,,
